,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power,song_id
71,0.07327777,0.06448184,0.0954496,0.106312715,0.0861096,0.092351444,0.06733741,0.10490929,0.071584016,0.08945725,57005722
72,0.047457047,0.051964868,0.102641076,0.090911835,0.08130272,0.08568235,0.06806255,0.119068295,0.04851782,0.06800129,93918535
73,0.08147363,0.07193656,0.067892425,0.07925447,0.07877113,0.08456223,0.062966146,0.08290839,0.074481055,0.09603843,49652179
74,0.045288995,0.05053615,0.07155648,0.07495005,0.06520818,0.069132045,0.06439151,0.08702617,0.030048756,0.050934933,188693345
75,0.06579931,0.06404115,0.07911971,0.088798836,0.07912177,0.08714688,0.06586283,0.09493232,0.06040242,0.078966856,11100005
76,0.07893494,0.07755828,0.08555227,0.09863825,0.08948021,0.09640516,0.07425851,0.09904338,0.07732785,0.09606314,17086876
77,0.08229504,0.06358822,0.08327018,0.092123315,0.084486246,0.09136116,0.059482906,0.08866869,0.08090473,0.09291193,102112552
78,0.08292186,0.071841605,0.08745211,0.087621786,0.089915104,0.09606125,0.07219262,0.09703368,0.087773025,0.09632945,68242601
79,0.06584135,0.058732484,0.07895696,0.08001684,0.076392904,0.08525908,0.064897075,0.094026804,0.07058053,0.07522943,86451188
80,0.08087144,0.055547714,0.07652338,0.08328466,0.07627584,0.08308627,0.05111761,0.08739196,0.0674704,0.08304275,17612683
81,0.08324937,0.0782816,0.07879893,0.09462915,0.08633987,0.09485415,0.07043369,0.09150811,0.08084102,0.09373507,59543419
82,0.07109525,0.062185958,0.06986521,0.07758556,0.07174233,0.078225136,0.06526649,0.08406507,0.0593605,0.079270214,124205317
83,0.064297035,0.046512008,0.07808215,0.07635571,0.067257926,0.076829806,0.052724272,0.08944681,0.071600005,0.088954784,195065492
84,0.08095097,0.06969929,0.08684528,0.11461486,0.08836299,0.10502248,0.07159348,0.11167513,0.07074919,0.08083259,57544795
85,0.07761767,0.06973983,0.09016211,0.10023356,0.086665906,0.09718147,0.07792025,0.10769406,0.081657745,0.088185176,85345213
86,0.077475324,0.057964005,0.05717655,0.096305825,0.083748475,0.096550174,0.07937977,0.09531431,0.082340434,0.08311113,14469100
