    24.000     1.081     0.883     0.751     0.796    -0.520    -0.733     0.851     1.103     0.842     0.849     0.512     0.345    -0.544    -0.392     0.824     1.135     1.170     1.038     0.657     0.680     0.219     0.324     0.587     0.515     1.066     1.096     0.593     0.329    -0.362    -0.058     0.191    -1.577    -0.993    -0.873     0.924     1.428     1.255     1.147     0.744
    25.000     0.516     0.527     0.717     0.385    -0.145    -0.115     0.767     0.444     0.926     0.785     0.802     0.330     0.595     0.662     0.750     0.707     1.160     1.167     0.855     0.757     0.194     0.312     0.751     0.592     0.706     0.945     0.957     0.968    -0.957    -0.617     0.610     0.132    -0.852    -0.613     0.644     0.403     0.802     0.774     0.758
    26.000     0.084     0.054    -0.740    -0.857     0.576     0.732    -0.623    -0.255     0.685     0.811    -0.244     0.383     0.148    -0.038    -0.451    -0.668     1.006     0.983    -0.589    -0.725     1.299     0.988    -0.414    -0.666     0.377     0.355    -0.426    -0.258     0.427    -0.489    -0.192     0.118    -0.156    -0.435    -0.436    -0.450    -1.586    -1.458    -0.685
    27.000    -0.446    -0.063     0.607     0.618     0.237     0.815     0.640     0.658     1.292     0.843     0.418    -0.286     1.593     1.504     0.472    -0.180     0.788     1.017     0.617     0.572     0.558     0.510     0.661     0.699     0.097     0.464     0.653     0.687     0.645     0.906     0.630     0.015    -0.209    -0.173     0.682    -0.139     0.013     0.009     0.586
    28.000    -1.014    -0.445     0.666     0.963     0.043     0.825     0.583     1.021    -0.217    -0.690     1.165     2.870     1.973     2.056     0.857     1.192    -0.380    -0.097     0.819     1.916    -0.938    -1.157     0.919     2.326    -1.228    -0.647     1.209     3.045    -1.105    -0.439     1.148     2.565    -0.859    -0.424     0.749     1.680    -1.334    -1.285     0.501
    29.000     0.442     0.629     1.086     1.152    -0.547    -0.184     1.160     1.352     1.316     1.108     0.507    -0.424     0.029     0.050     0.834    -0.062     1.160     1.247     1.041     1.181     0.210     0.363     1.023     0.863     0.424     0.689     0.942     0.888     0.544     0.545     0.905    -0.442    -0.667    -0.430     1.381     0.389     0.232     0.107     1.285
    30.000    -0.700    -0.264    -0.487    -0.058     0.963     1.049    -0.522    -0.761    -0.393    -0.417    -0.571    -0.519     0.906     0.332    -0.490    -0.773    -0.607    -0.424    -0.556    -0.480    -0.421    -0.248    -0.617    -0.553    -0.844    -0.615    -0.602    -0.570    -0.199    -0.324    -0.681    -0.365     0.131    -0.115    -0.605    -0.187    -0.882    -0.625    -0.569
    31.000    -0.572    -0.840    -0.038    -0.256     0.482     0.507     0.017    -0.137    -0.235    -0.548     0.412     1.054     1.210     1.479     0.314     0.415    -0.266    -0.458     0.160     0.346    -0.354    -0.750     0.167     0.748    -0.644    -0.646     0.572     2.181    -0.751    -0.009     0.520     1.758    -0.345     0.220    -0.005     1.144    -0.654    -0.859    -0.088
    32.000     0.419    -0.897     0.967     0.665     0.658    -0.529     1.051     0.796    -0.118    -0.033     1.222     1.418    -0.428     0.060     0.983     0.700     0.100    -0.719     1.068     1.224     0.597     0.007     1.180     1.549     0.452    -0.460     1.194     1.503     0.118     0.775     1.222     1.388     0.445     1.024     1.168     0.610     0.342    -0.095     0.860
    33.000     0.557    -0.241     1.016     0.469     0.036    -0.929     1.100     1.114     0.023     0.196     1.067     0.843    -0.594    -0.235     0.934     0.878     0.237    -0.318     1.221     2.061     0.441    -0.013     1.052     1.663     0.430    -0.286     1.352     1.966     0.299     0.738     0.870     0.119     0.263     0.621     0.748     0.410     0.056    -0.144     1.068
    34.000    -1.104    -0.794    -0.536     0.250    -0.276    -0.213    -0.680    -0.275    -1.450    -1.160    -0.889    -0.825    -0.484    -0.586    -0.713    -1.118    -1.826    -1.540    -0.752    -0.251    -0.777    -0.641    -0.714    -0.408    -1.062    -1.056    -0.848    -0.552     0.529     0.711    -0.790    -0.095     1.275     1.059    -0.544     0.262    -0.469    -0.221    -0.548
    35.000    -0.106    -0.867     0.470     0.240     0.565     0.020     0.530     0.293    -0.180    -0.306     1.010     2.210     0.440     0.812     0.606     0.810    -0.094    -0.581     0.646     0.893     0.093    -0.394     0.528     0.711    -0.129    -0.559     0.680     1.111    -0.343     0.359     1.112     2.215     0.026     0.598     0.254     0.290    -0.186    -0.500     0.224
    36.000     0.730     0.627     0.661     0.259    -0.049    -0.431     0.698     0.260     1.024     1.539     0.487    -0.172    -0.827    -0.741     0.577     0.031     1.116     1.198     0.709     0.533     1.000     1.158     0.708     0.430     1.239     1.332     0.732     0.511    -0.078     0.021     0.519    -0.399    -0.963    -0.932     0.803     0.307    -0.167    -0.067     0.836
    37.000    -2.349    -2.142    -0.705    -0.532     0.889     0.573    -0.830    -0.780    -1.431    -1.490    -0.679    -0.363     1.065     0.633    -0.491    -0.327    -1.639    -1.568    -0.761    -0.817     0.301     0.237    -0.734    -0.760    -1.491    -1.576    -0.736    -0.480     1.507     1.206    -0.690    -0.426     1.432     1.280    -0.601     0.324    -1.998    -1.697    -0.733
    38.000     0.026     0.098     0.668     1.061    -0.358    -0.493     0.865     1.707     0.019    -0.007    -0.247    -1.290     0.311     0.479     0.672     1.148     0.082     0.026     0.507     0.322    -0.203    -0.477     0.600     0.104    -0.237    -0.318     0.421     0.234    -0.139     0.251     0.205    -0.433    -0.296    -0.049     1.484     1.374    -0.674    -0.625     0.729
    39.000     0.101     0.292    -3.585    -2.635    -0.777    -0.705    -3.533    -5.868    -0.385    -0.186    -3.540     0.157    -1.341    -1.400    -3.615     2.207    -0.254    -0.156    -3.148    -1.172    -0.659    -0.398    -3.665    -1.772     0.007     0.090    -3.885    -2.461     0.180     0.017    -2.855     1.596    -0.431    -0.766    -3.156     1.585     0.732     0.755    -4.395
    40.000     0.234     0.217    -0.286    -0.321    -0.455    -0.524    -0.431    -0.730    -0.676    -0.587    -0.567    -1.201    -0.429    -0.338    -0.349    -0.098    -0.530    -0.578    -0.436    -0.998    -0.612    -0.750    -0.445    -0.924    -0.480    -0.445    -0.508    -1.152    -0.445    -0.281    -0.574    -0.787    -0.487    -0.304    -0.433     0.085     0.126     0.002    -0.371
