,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power,song_id
67,0.24668154,0.18225841,0.23824164,0.25693056,0.24032283,0.2608447,0.18105383,0.23280397,0.2120143,0.26267684,34373547
68,0.1344341,0.08510836,0.1330966,0.14717491,0.1309224,0.14019234,0.09769888,0.14943826,0.11095886,0.14649087,3671199
69,0.22817482,0.15076669,0.21277328,0.24846797,0.22031416,0.24458915,0.1743477,0.22909553,0.19369079,0.24303287,210971961
70,0.11740429,0.08638576,0.103996255,0.1462724,0.12347935,0.1336897,0.10409889,0.13313259,0.111983225,0.12511429,163661563
71,0.21031685,0.14822063,0.21686092,0.24252117,0.21374434,0.23346493,0.16502106,0.22730266,0.18664579,0.2333686,57005722
72,0.17089275,0.08840188,0.1548705,0.19157024,0.16397843,0.1804673,0.12019172,0.19793774,0.13482429,0.1769059,93918535
73,0.22485977,0.16456129,0.20731783,0.21757536,0.2134545,0.22993943,0.17239365,0.20961802,0.19893748,0.2428573,49652179
74,0.13545763,0.07136569,0.13582313,0.15472516,0.12945932,0.14920689,0.104970016,0.15602928,0.096195176,0.14054832,188693345
75,0.19058472,0.12804136,0.18088847,0.21189721,0.18531287,0.21070933,0.14914438,0.20511907,0.16485015,0.20775132,11100005
76,0.23305714,0.17105392,0.22256197,0.2491442,0.23038328,0.24976495,0.18449472,0.23061994,0.20229256,0.25541228,17086876
77,0.24474683,0.17806372,0.23405026,0.25164336,0.23368314,0.259127,0.18156463,0.2328152,0.21913424,0.2680102,102112552
78,0.23266008,0.15922327,0.20731454,0.23372367,0.21793473,0.24121872,0.1758788,0.2216864,0.19187889,0.25277787,68242601
79,0.18074116,0.104386,0.1661777,0.19374445,0.17019802,0.19580542,0.13598232,0.18911159,0.15848406,0.19562156,86451188
80,0.23025188,0.1554201,0.22171216,0.23636037,0.21619621,0.2396058,0.16465157,0.22440155,0.19255799,0.24197769,17612683
81,0.26651505,0.19676524,0.24691902,0.28590703,0.25974512,0.28321606,0.20403147,0.25910074,0.23842406,0.28728515,59543419
82,0.19108136,0.12718132,0.17163873,0.1964019,0.17631355,0.19851612,0.14182486,0.18757246,0.1596465,0.20675701,124205317
83,0.19521908,0.12265405,0.19834787,0.20405772,0.18393682,0.21168406,0.14485648,0.19642214,0.17937711,0.21426024,195065492
84,0.24917631,0.15968817,0.21870059,0.28670236,0.2391733,0.2715633,0.18784413,0.26203573,0.20777044,0.26354274,57544795
